Week,fromDist,toDist,fromReg,toReg,IDPPop
1,4,64,7,11,107
1,6,6,5,5,58
1,9,9,3,3,5238
1,9,15,3,1,7
1,9,38,3,13,33
1,9,43,3,18,12
1,9,61,3,4,3
1,11,49,10,11,124
1,12,43,8,18,3
1,12,61,8,4,9
1,14,14,18,18,3
1,15,43,1,18,5
1,18,43,8,18,6
1,19,14,17,18,6
1,20,15,14,1,6
1,23,38,6,13,7
1,23,43,6,18,6
1,24,15,6,1,8
1,24,38,6,13,7
1,24,43,6,18,3
1,28,43,15,18,4
1,35,6,5,5,17
1,38,14,13,18,7
1,38,38,13,13,373
1,41,43,14,18,6
1,41,61,14,4,3
1,43,14,18,18,12
1,44,38,13,13,221
1,51,38,9,13,7
1,57,2,10,10,10
1,57,9,10,3,479
1,60,6,5,5,26
1,60,38,5,13,11
1,68,15,2,1,7
2,4,64,7,11,21
2,6,6,5,5,7
2,6,38,5,13,8
2,8,43,12,18,6
2,9,9,3,3,34
2,9,15,3,1,8
2,9,38,3,13,17
2,9,43,3,18,15
2,11,43,10,18,4
2,12,38,8,13,10
2,12,43,8,18,6
2,14,14,18,18,10
2,14,38,18,13,6
2,16,38,4,13,7
2,21,21,17,17,807
2,23,15,6,1,6
2,23,38,6,13,6
2,24,34,6,6,138
2,24,38,6,13,7
2,24,43,6,18,5
2,24,61,6,4,5
2,27,14,16,18,8
2,30,43,6,18,5
2,31,38,6,13,8
2,35,6,5,5,10
2,35,15,5,1,7
2,35,17,5,11,126
2,38,43,13,18,5
2,40,13,7,7,24
2,40,40,7,7,4190
2,41,43,14,18,4
2,41,61,14,4,13
2,44,38,13,13,6
2,46,15,8,1,8
2,46,38,8,13,4
2,46,43,8,18,4
2,47,51,9,9,10
2,51,38,9,13,6
2,57,9,10,3,19
2,57,57,10,10,20
2,60,6,5,5,5
2,61,61,4,4,8
2,62,9,10,3,26
2,69,6,2,5,14
2,71,38,13,13,15
3,6,6,5,5,7
3,6,15,5,1,6
3,8,43,12,18,5
3,9,9,3,3,1020
3,9,16,3,4,5
3,9,43,3,18,16
3,13,13,7,7,2100
3,13,32,7,7,110
3,14,14,18,18,7
3,16,38,4,13,6
3,16,43,4,18,21
3,23,43,6,18,5
3,31,38,6,13,14
3,35,6,5,5,14
3,35,64,5,11,12
3,38,38,13,13,21
3,38,43,13,18,7
3,39,43,13,18,8
3,40,4,7,7,795
3,40,13,7,7,195
3,40,32,7,7,402
3,40,40,7,7,502
3,40,43,7,18,5
3,40,64,7,11,110
3,41,43,14,18,8
3,44,38,13,13,541
3,57,57,10,10,64
4,4,49,7,11,41
4,4,64,7,11,24
4,9,9,3,3,149
4,9,15,3,1,11
4,9,16,3,4,11
4,9,38,3,13,7
4,9,43,3,18,15
4,9,61,3,4,4
4,12,15,8,1,6
4,12,61,8,4,7
4,14,14,18,18,3
4,16,6,4,5,6
4,16,43,4,18,7
4,23,38,6,13,238
4,24,43,6,18,4
4,25,43,12,18,6
4,28,43,15,18,6
4,38,38,13,13,5
4,38,43,13,18,9
4,40,4,7,7,168
4,41,38,14,13,5
4,42,43,18,18,8
